B B
C1=NNCO1 C1=NN[CH2:1]O1
C1=NNCS1 C1NN=[CH:1]S1
C1=NNN=N1 C1=N[NH:1]N=N1
C1=NNN=N1 N1=N[CH:1]=NN1
C1=NOCC1 C1=NOC[CH2:1]1
C1=NOCC1 C1=NO[CH2:1]C1
C1=NOCC1 C1=NO[CH2:1][CH2:1]1
C1=NOCC1 C1C[CH:1]=NO1
C1=NSCC1 C1C[CH:1]=NS1
C1CC1 C1C[CH2:1]1
C1CCCC1 C1CC[CH2:1]C1
C1CCCC1 C1C[CH2:1][CH2:1]C1
C1CCCC1 C1C[CH2:1][CH2:1][CH2:1]1
C1CCCCC1 C1CC[CH2:1]CC1
C1CCCCC1 C1CC[CH2:1][CH2:1]C1
C1CCCCCC1 C1CCC[CH2:1]CC1
C1CCCCCC1 C1CC[CH2:1][CH2:1]CC1
C1CCNC1 C1CC[NH:1]C1
C1CCNC1 C1CN[CH2:1]C1
C1CCNC1 C1C[CH2:1]CN1
C1CCNC1 C1C[CH2:1][NH:1]C1
C1CCNCC1 C1CC[CH2:1]NC1
C1CCNCC1 C1CC[NH:1]CC1
C1CCNCC1 C1CC[NH:1][CH2:1]C1
C1CCNCC1 C1CNC[CH2:1]C1
C1CCNCC1 C1C[CH2:1]CCN1
C1CCNCCNCCNCCNCCNCCNCC1 C1CCNCCNCCNC[CH2:1]NCCNCCNCC1
C1CCNCCNCCNCCNCCNCCNCC1 C1CNCCNCCNCCNCCNCCNC[CH2:1]C1
C1CCNCCNCCNCCNCCNCCNCCNCCCCNCCNCCNCCNCCNCCNC1 C1CCNCCNCCNCCNCCNCCN[CH2:1]CNCCCCNCCNCCNCCNCCNCCNC1
C1CCOC1 C1CO[CH2:1]C1
C1CCOC1 C1C[CH2:1]CO1
C1CCOC1 C1C[CH2:1][CH2:1]O1
C1CCOC1 C1C[CH2:1][O:1][CH2:1]1
C1CCOCC1 C1CC[CH2:1]OC1
C1CCOCC1 C1COC[CH2:1]C1
C1CCOCC1 C1CO[CH2:1][CH2:1]C1
C1CCOCC1 C1C[CH2:1]CCO1
C1CCOCC1 C1C[CH2:1][CH2:1][CH2:1]O1
C1CCOCC1 C1C[CH2:1][O:1][CH2:1]C1
C1CCOCCCOC1 C1COCC[CH2:1]COC1
C1CCSC1 C1CS[CH2:1]C1
C1CCSC1 C1C[CH2:1]CS1
C1CCSC1 C1C[CH2:1][CH2:1]S1
C1CNCCN1 C1CN[CH2:1]CN1
C1CNCCN1 C1C[NH:1]CCN1
C1CNCCNCCNCCNCCNCCN1 C1CNCCNCCN[CH2:1]CNCCNCCN1
C1CNCCNCCNCCNCCNCCNCCNCCNC1 C1CNCCNCCNCCN[CH2:1]CCNCCNCCNCCN1
C1CNCCNCCNCCNCCNCCNCCNCCNCCNCCNCCN1 C1CNCCNCCNCCNCCNC[CH2:1]NCCNCCNCCNCCNCCN1
C1CNCCNCCNCCNCCNCCNCCNCCNCCNCCNCCNCCNCCOC1 C1CNCCNCCNCCNCCNCCNCC[CH2:1]OCCNCCNCCNCCNCCNCCN1
C1CNCCNCCNCCNCCNCCNCCNCCNCCNCCSSC1 C1CNCCNCCNCCNCCNCCNCCNCCNCCN[CH2:1]CSSC1
C1CNCCNCCNCCNCCNCCNCCNCCNCCNCCSSC1 C1CNCCNCCNCCNCCSSC[CH2:1]CNCCNCCNCCNCCN1
C1CNCCNCCNCCNCCNCCNCCNCCNCCNCCSSC1 C1CNCCNCCNCCNC[CH2:1][CH2:1][S:1][S:1][CH2:1][CH2:1]NCCNCCNCCNCCN1
C1CNCCNCCNCCNCCNCCNCCNCCNCCSSCCCNCCNCCSSC1 C1CNCCNCCSSC[CH2:1]CNCCNCCNCCNCCNCCNCCNCCNCCSSC1
C1CNCCNCCNCCNCCNCCNCCNCCNCCSSCCCNCCNCCSSC1 C1CNCCN[CH2:1]CSSCCCNCCNCCNCCNCCNCCNCCNCCNCCSSC1
C1CNCCNCCNCCNCCNCCNCCNCCNCCSSCCCNCCNCCSSC1 C1CNCCN[CH2:1][CH2:1][S:1][S:1][CH2:1][CH2:1]CNCCNCCNCCNCCNCCNCCNCCNCCSSC1
C1CNCCNCCNCCNCCNCCNCCNCCNCCSSCCCNCCSSC1 C1CNCCN[CH2:1]CNCCNCCNCCNCCNCCNCCSSCCCNCCSSC1
C1CNCCNCCNCCNCCOCCNCCNCCNCCN1 C1CNCCNCCNCCNC[CH2:1]OCCNCCNCCNCCN1
C1CNCCNCCNCCNCCOCCNCCNCCNCCN1 C1CNCCNCCOCCNCCNCCNC[CH2:1]NCCNCCN1
C1CNCCNCCNCCNCCSSCCCNCCNCCNCCNCCSSC1 C1CNCCNCCNCCNCCSSC[CH2:1]CNCCNCCNCCNCCSSC1
C1CNCCNCCNCCNCCSSCCCNCCNCCNCCNCCSSC1 C1CNCCNCCNCCN[CH2:1]CSSCCCNCCNCCNCCNCCSSC1
C1CNCCNCCNCCNCCSSCCCNCCNCCNCCNCCSSC1 C1CNCCNCCNCCN[CH2:1][CH2:1][S:1][S:1][CH2:1][CH2:1]CNCCNCCNCCNCCSSC1
C1CNCN1 C1C[NH:1]CN1
C1CNCN1 C1NC[CH2:1]N1
C1CNCNC1 C1CNC[NH:1]C1
C1CNCNC1 C1CN[CH2:1]NC1
C1CNCOC1 C1C[CH2:1]NCO1
C1CNCOC1 C1NC[CH2:1]CO1
C1CNCOC1 C1N[CH2:1][CH2:1]CO1
C1CNSC1 C1C[CH2:1]NS1
C1CO1 C1O[CH2:1]1
C1CO1 O1[CH2:1][CH2:1]1
C1COCCCOCCCOCCCOC1 C1COCCCOCC[CH2:1]OCCCOC1
C1COCCN1 C1C[NH:1]CCO1
C1COCCNCCNCCNCCNCCNCCNCCOCCOC1 C1CNCCNCCNCCOC[CH2:1]COCCOCCNCCNCCN1
C1COCCNCCNCCNCCNCCNCCNCCOCCOC1 C1COCCNCCNCCNCCNCCNC[CH2:1]NCCOCCOC1
C1COCN1 C1CO[CH2:1]N1
C1COCN1 C1NC[CH2:1]O1
C1COCO1 C1CO[CH2:1]O1
C1COCO1 C1OC[CH2:1]O1
C1COCO1 C1O[CH2:1][CH2:1]O1
C1COCOC1 C1CO[CH2:1]OC1
C1COCOC1 C1OC[CH2:1]CO1
C1CSCN1 C1CS[CH2:1]N1
C1CSCN1 C1C[NH:1]CS1
C1CSCS1 C1CS[CH2:1]S1
C1CSNCN1 C1C[NH:1]CNS1
C1CSNCN1 C1C[S:1]NCN1
C1NCNCN1 C1NCN[CH2:1]N1
C1NCSCN1 C1NCS[CH2:1]N1
C1NCSCN1 C1NC[NH:1]CS1
C=C C=[CH2:1]
C=N C=[NH:1]
C=N N=[CH2:1]
C=O C=[O:1]
C=O O=[CH2:1]
C=S C=[S:1]
C=S S=[CH2:1]
C=[NH2+] C=[NH2+:1]
C=[NH2+] [NH2+]=[CH2:1]
CBr Br[CH3:1]
CBr C[Br:1]
CC C[CH3:1]
CCl C[Cl:1]
CCl Cl[CH3:1]
CF C[F:1]
CF F[CH3:1]
CI I[CH3:1]
CN C[NH2:1]
CN N[CH3:1]
CO C[OH:1]
CO O[CH3:1]
CP P[CH3:1]
CS C[SH:1]
CS S[CH3:1]
C[AsH2] [AsH2][CH3:1]
C[NH3+] C[NH3+:1]
C[NH3+] [NH3+][CH3:1]
C[O-] [O-][CH3:1]
C[SeH] C[SeH:1]
C[SeH] [SeH][CH3:1]
N N
NCl Cl[NH2:1]
NN N[NH2:1]
NO N[OH:1]
NO O[NH2:1]
NS N[SH:1]
NS S[NH2:1]
O=P O=[PH:1]
O=P P=[O:1]
O=S O=[S:1]
O=S S=[O:1]
O=[AsH] O=[AsH:1]
OP O[PH2:1]
OP P[OH:1]
OS O[SH:1]
OS S[OH:1]
O[AsH2] O[AsH2:1]
P P
S S
S=[Se] S=[Se:1]
S=[Se] [Se]=[S:1]
SS S[SH:1]
[Ag] [Ag]
[AsH3] [AsH3]
[CH3][Hg] [CH3][Hg:1]
[N-]=[NH2+] [NH2+]=[N-:1]
[NH2+]=O O=[NH2+:1]
[NH2+]=O [NH2+]=[O:1]
[NH3+][O-] [NH3+][O-:1]
[NH3+][O-] [O-][NH3+:1]
[NH4+] [NH4+]
[O-]P [O-][PH2:1]
[OH][Hg] [Hg][OH:1]
[SeH][SeH] [SeH][SeH:1]
