ChEMBL_ID,SMILES
CHEMBL7742,O=C(N[C@@H](Cc1cccs1)C(=O)O)c1ccccc1Br
CHEMBL7466,O=C(N[C@@H](Cc1ccc(O)cc1)C(=O)O)c1ccccc1Br
CHEMBL7560,COc1ccc2c(c1)CCC(CCN1CCC(c3ccccc3)CC1)C2=O
CHEMBL7552,N#Cc1ccc(C[C@H](NC(=O)c2ccccc2Br)C(=O)O)cc1
CHEMBL7797,CC1(c2ccccc2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O
CHEMBL7866,COC(=O)Cn1cc(-c2cccc(Cl)c2)c(=O)c2c(O)cc(OC)cc21
CHEMBL8179,Cc1cc(-c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)cc(C)n1
CHEMBL7975,O=C(O)C1Cc2cc3c(-c4ccccc4F)noc3c(Br)c2O1
CHEMBL429023,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1
CHEMBL267630,COc1cc2c(cc1OC)[C@@H]1C(=O)c3ccc4c(c3O[C@@H]1CO2)C[C@H](C(C)C)O4
CHEMBL266993,COc1ccc(Cl)c(C2(F)C(=O)Nc3cc(Br)ccc32)c1
CHEMBL267461,C=C(C)[C@H]1Cc2c(ccc3c2O[C@H]2COc4cc(OC)c(OC)cc4[C@H]2C3=O)O1
CHEMBL7662,COc1ccc(Cl)cc1C1(F)C(=O)Nc2cc(C(F)(F)F)ccc21
CHEMBL275699,COc1ccc(Cl)c(C2(F)C(=O)Nc3c(I)cccc32)c1
CHEMBL268392,COc1cc2c(cc1OC)C1C(=O)c3ccc4c(c3OC1CO2)C(C)(C)C=CO4
CHEMBL7986,COc1ccc(Cl)c(C2(F)C(=O)Nc3c(C(F)(F)F)cccc32)c1
CHEMBL266510,COc1ccc(Cl)cc1[C@]1(F)C(=O)Nc2cc(C(F)(F)F)ccc21
CHEMBL8347,COc1ccc(Cl)cc1[C@@]1(F)C(=O)Nc2cc(C(F)(F)F)ccc21
CHEMBL266255,O=C1NC(=O)c2cc3c(cc21)N(c1ccccc1)CCN3c1ccccc1
CHEMBL267941,CN(c1ccccc1)c1cc2c(cc1N(C)c1ccccc1)C(=O)NC2=O
CHEMBL267806,Cc1cc(NC(=O)c2cccs2)ccc1OCC(O)CNC(C)(C)C
CHEMBL267804,COc1cc2nc(N3CCN(c4nccc(C)n4)CC3)cc(N)c2cc1OC
CHEMBL8378,CCN1C(C(=O)N[C@H](C=O)Cc2ccccc2)Cc2cc(Cl)ccc2S1(=O)=O
CHEMBL267428,C=CCNC(=O)N1CCN(c2cc(N)c3cc(OC)c(OC)cc3n2)CC1
CHEMBL276701,COc1cc2nc(N3CCN(c4ccccc4)CC3)cc(N)c2cc1OC
CHEMBL54,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
CHEMBL417422,COc1cc2nc(N3CCN(Cc4ccccc4)CC3)cc(N)c2cc1OC
CHEMBL266119,COc1cc2nc(N3CCN(C(=O)c4ccccc4)CC3)cc(N)c2cc1OC
CHEMBL8369,CCCNC(=O)N1CCN(c2cc(N)c3cc(OC)c(OC)cc3n2)CC1
CHEMBL8689,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)cc(N)c2cc1OC
CHEMBL8605,O=C[C@H](Cc1ccccc1)NC(=O)C1Cc2ccccc2S(=O)(=O)N1
CHEMBL8452,CC(C)(C)c1ccc(S(=O)(=O)N[C@H]2CCN(CCNc3ccncc3)C2=O)cc1
CHEMBL8845,CCC(=O)N1N=C(c2ccc(N)cc2)c2cc3c(cc2CC1C)OCO3
CHEMBL8593,COc1cccc2c1C(CCCN1CCN(c3ccccc3)CC1)=CCC2
CHEMBL418148,CC(N)C(=O)N1N=C(c2ccc(N)cc2)c2cc3c(cc2CC1C)OCO3
CHEMBL268142,CC1Cc2cc3c(cc2C(c2ccc(N)cc2)=NN1C(=O)CC#N)OCO3
CHEMBL8588,COc1cc2cc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
CHEMBL266244,CC1Cc2cc3c(cc2C(c2ccc(N)cc2)=NN1C(=O)CN(C)C)OCO3
CHEMBL268144,CNCC(=O)N1N=C(c2ccc(N)cc2)c2cc3c(cc2CC1C)OCO3
